15562.9,17643.4,56715.7,39596.3,82335.6,43600.7,27879.6,30572.2,54805.8,16718.3
70107.9,56384.7,28154.4,50149.2,52196.7,19215.7,15656.5,15288.1,15987.9,14291.8
61916.8,58509.1,29546.3,23924.6,78575.7,30615.9,18841.9,17033.1,17603.1,16122.1
63107.2,30284.3,15057,23988.4,32543.2,24279.6,12608.5,12773.2,16185.6,13620.3
59077.4,52907.9,18199.9,18640.7,26783.5,15387.9,20884.2,14480.9,13660.7,15040.9
30955.1,27850.9,29015.7,15131.7,20356.5,11748,14158,17746.5,12096.9,18677
26734.6,38494,18116.2,16680.9,18813,12097.8,19226.2,14059.8,13476.8,13874.7
17867.5,25464.1,12521.5,12742.1,13547.5,13164.8,12818.5,11728.5,15562.4,16760
27680.5,13661,15513.3,14421.7,23131.9,12026.9,15891.6,17829.6,11484.2,16321.4
10116.7,10234.9,10842.5,19107.1,37696.6,17213.1,11450.7,19073.2,28982.7,18462.2
